,Ticker,Latest_Price,Score,PE_Ratio,PEG_Ratio,SMA_150,SMA_200,52_Week_Low,52_Week_High
0,AAP,226.1499938964844,100,23.03,1.13,218.02,211.94,143.15,244.55
1,ABC,131.52000427246094,75,17.8,1.5,121.95,120.87,100.71,136.95
