Date,High,Low,Open,Close,Volume,Adj Close
2021-01-25,253.7899932861328,249.05999755859375,251.86000061035156,252.0399932861328,1921600.0,249.16746520996094
2021-01-26,254.41000366210938,251.13999938964844,253.19000244140625,252.99000549316406,1345500.0,250.1066436767578
2021-01-27,251.22000122070312,244.38999938964844,248.66000366210938,246.10000610351562,1833100.0,243.295166015625
2021-01-28,252.8000030517578,248.13999938964844,249.24000549316406,249.33999633789062,1794200.0,246.49822998046875
2021-01-29,249.22999572753906,241.72999572753906,248.24000549316406,241.9199981689453,2494400.0,239.1627960205078
2021-02-01,248.89999389648438,243.97000122070312,246.10000610351562,247.57000732421875,1559700.0,244.7484130859375
2021-02-02,251.42999267578125,248.6300048828125,250.0,248.75,2010300.0,245.91494750976562
2021-02-03,250.11000061035156,246.58999633789062,248.19000244140625,248.3699951171875,2470400.0,245.53927612304688
2021-02-04,253.02999877929688,246.91000366210938,249.55999755859375,253.00999450683594,1702200.0,250.12640380859375
2021-02-05,255.75,252.16000366210938,254.08999633789062,253.5399932861328,1497700.0,250.6503448486328
2021-02-08,257.3500061035156,253.75999450683594,253.9199981689453,257.30999755859375,1508700.0,254.3773956298828
2021-02-09,258.80999755859375,255.61000061035156,256.30999755859375,257.67999267578125,1542600.0,254.74317932128906
2021-02-10,259.19000244140625,255.86000061035156,258.0199890136719,256.94000244140625,1428300.0,254.0116424560547
2021-02-11,259.989990234375,257.0400085449219,258.0,258.9700012207031,1285300.0,256.01849365234375
2021-02-12,258.5899963378906,255.41000366210938,257.45001220703125,257.4700012207031,1219200.0,254.5355682373047
2021-02-16,259.489990234375,256.2699890136719,257.6499938964844,257.04998779296875,1606700.0,254.12034606933594
2021-02-17,261.6099853515625,255.77000427246094,256.6499938964844,258.7799987792969,1881000.0,255.8306427001953
2021-02-18,258.1000061035156,254.6999969482422,255.58999633789062,257.6300048828125,1664300.0,254.69375610351562
2021-02-19,258.5,254.16000366210938,258.4599914550781,254.2899932861328,2038400.0,251.39181518554688
2021-02-22,254.1699981689453,250.08999633789062,252.69000244140625,252.6300048828125,1476000.0,249.75076293945312
2021-02-23,257.92999267578125,250.58999633789062,251.55999755859375,256.19000244140625,2191300.0,253.27017211914062
2021-02-24,260.4700012207031,252.82000732421875,253.2100067138672,259.2699890136719,2476300.0,256.3150634765625
2021-02-25,259.1099853515625,252.5800018310547,258.9800109863281,253.77999877929688,2157700.0,250.88763427734375
2021-02-26,255.85000610351562,249.80999755859375,255.24000549316406,250.89999389648438,2712800.0,248.04043579101562
2021-03-01,259.79998779296875,254.0,254.0,258.1600036621094,1954700.0,255.21768188476562
2021-03-02,261.1199951171875,257.1099853515625,258.1600036621094,259.2300109863281,2099800.0,256.2755432128906
2021-03-03,260.0,254.0500030517578,259.8999938964844,254.17999267578125,2114400.0,251.28305053710938
2021-03-04,254.63999938964844,245.1699981689453,252.8300018310547,247.0,2590400.0,244.18490600585938
2021-03-05,250.67999267578125,244.44000244140625,249.24000549316406,249.50999450683594,3236500.0,246.66629028320312
2021-03-08,255.7899932861328,249.22999572753906,254.60000610351562,249.38999938964844,2856100.0,246.5476531982422
2021-03-09,257.4599914550781,251.63999938964844,252.52000427246094,254.3699951171875,2729200.0,251.4709014892578
2021-03-10,258.239990234375,254.61000061035156,256.2900085449219,257.1400146484375,2046000.0,254.20933532714844
2021-03-11,268.1099853515625,260.0,260.0,266.3699951171875,2972000.0,263.3341369628906
2021-03-12,266.25,262.70001220703125,264.9800109863281,264.95001220703125,1828600.0,261.9303283691406
2021-03-15,266.5899963378906,263.4800109863281,263.69000244140625,266.260009765625,2295700.0,263.2254333496094
2021-03-16,267.260009765625,263.1000061035156,267.2200012207031,263.5199890136719,2185600.0,260.5166320800781
2021-03-17,266.2799987792969,261.6300048828125,263.5299987792969,264.2699890136719,2626500.0,261.2580261230469
2021-03-18,271.510009765625,264.0799865722656,267.2200012207031,266.8900146484375,4089900.0,263.8482360839844
2021-03-19,269.1099853515625,261.1300048828125,266.3500061035156,263.7799987792969,4460500.0,260.7736511230469
2021-03-22,265.92999267578125,262.3500061035156,263.1499938964844,265.20001220703125,2295700.0,262.177490234375
2021-03-23,267.1300048828125,264.3699951171875,265.5,266.0299987792969,2160300.0,262.9980163574219
2021-03-24,269.7900085449219,265.70001220703125,265.9200134277344,267.54998779296875,2160600.0,264.5007019042969
2021-03-25,269.5,265.80999755859375,266.17999267578125,268.6099853515625,1714700.0,265.5486145019531
2021-03-26,281.29998779296875,268.489990234375,268.489990234375,280.7699890136719,3171900.0,277.57000732421875
2021-03-29,281.2900085449219,277.739990234375,278.2200012207031,279.5400085449219,2398700.0,276.3540344238281
2021-03-30,280.0799865722656,276.5199890136719,279.7900085449219,278.54998779296875,1763100.0,275.3753356933594
2021-03-31,279.2699890136719,276.1000061035156,278.5,276.25,2375800.0,273.1015319824219
2021-04-01,278.7799987792969,276.07000732421875,278.6199951171875,278.3399963378906,2301900.0,275.1676940917969
2021-04-05,282.69000244140625,278.79998779296875,279.010009765625,281.1300048828125,2631300.0,277.9259033203125
2021-04-06,283.04998779296875,279.6499938964844,281.42999267578125,281.6300048828125,1786600.0,278.42022705078125
2021-04-07,283.6300048828125,281.1000061035156,281.9700012207031,282.57000732421875,2736300.0,279.3495178222656
2021-04-08,285.3500061035156,283.2300109863281,284.1199951171875,284.4200134277344,1600600.0,281.17840576171875
2021-04-09,287.82000732421875,283.6000061035156,285.0,287.7099914550781,1787800.0,284.430908203125
2021-04-12,288.1000061035156,285.1400146484375,285.9700012207031,287.5400085449219,1437500.0,284.2629089355469
2021-04-13,287.05999755859375,284.0799865722656,286.6000061035156,285.2200012207031,2228000.0,281.9693298339844
2021-04-14,286.79998779296875,283.0799865722656,284.3800048828125,284.44000244140625,1903500.0,282.0684509277344
2021-04-15,287.17999267578125,284.4100036621094,286.260009765625,285.1499938964844,2047500.0,282.7725524902344
2021-04-16,287.4599914550781,285.010009765625,285.1600036621094,286.9599914550781,2625500.0,284.56744384765625
2021-04-19,287.2300109863281,284.9100036621094,287.1000061035156,286.5400085449219,1437100.0,284.1509704589844
2021-04-20,288.8999938964844,285.760009765625,285.92999267578125,288.6000061035156,1889800.0,286.19378662109375
2021-04-21,291.1499938964844,287.7900085449219,289.6700134277344,290.7200012207031,1585900.0,288.2961120605469
2021-04-22,293.2799987792969,289.1499938964844,290.989990234375,290.1600036621094,1460400.0,287.74078369140625
2021-04-23,292.8900146484375,289.70001220703125,290.19000244140625,291.739990234375,1505300.0,289.3075866699219
2021-04-26,292.3699951171875,288.8399963378906,291.6000061035156,289.5199890136719,1420700.0,287.1061096191406
2021-04-27,290.8900146484375,288.07000732421875,290.07000732421875,290.25,1270900.0,287.8300476074219
2021-04-28,291.45001220703125,289.82000732421875,290.7200012207031,290.2699890136719,1159900.0,287.849853515625
2021-04-29,293.2799987792969,290.6000061035156,292.0799865722656,292.5400085449219,1247800.0,290.1009521484375
2021-04-30,290.9200134277344,288.3599853515625,290.7699890136719,289.9700012207031,1969200.0,287.5523376464844
2021-05-03,293.4200134277344,291.3699951171875,292.92999267578125,292.1700134277344,1300400.0,289.7340393066406
